ec1,time,sequence,sn1,result,event
112.0,2011-10-01 00:38:44,173688,20000,ACCEPTED,J
112.0,2011-10-01 00:38:44,173688,20000,ACCEPTED,G
112.0,2011-10-01 00:39:37,173688,20000,ACCEPTED,H
10862.0,2011-10-01 11:42:43,173688,20000,ACCEPTED,A
10862.0,2011-10-01 11:45:09,173688,20000,ACCEPTED,F
10629.0,2011-10-13 10:37:29,173688,20000,ACCEPTED,I
10629.0,2011-10-13 10:37:29,173688,20000,ACCEPTED,C
10629.0,2011-10-13 10:37:29,173688,20000,ACCEPTED,B
112.0,2011-10-01 08:08:58,173691,5000,ACCEPTED,J
112.0,2011-10-01 08:09:02,173691,5000,ACCEPTED,G
112.0,2011-10-01 08:09:56,173691,5000,ACCEPTED,H
10862.0,2011-10-01 14:33:54,173691,5000,ACCEPTED,A
10862.0,2011-10-01 14:35:46,173691,5000,ACCEPTED,F
10809.0,2011-10-10 14:17:26,173691,5000,ACCEPTED,C
10809.0,2011-10-10 14:17:26,173691,5000,ACCEPTED,I
10809.0,2011-10-10 14:17:26,173691,5000,ACCEPTED,B
112.0,2011-10-01 08:10:30,173694,7000,ACCEPTED,J
112.0,2011-10-01 08:10:30,173694,7000,ACCEPTED,G
112.0,2011-10-01 08:11:13,173694,7000,ACCEPTED,H
11201.0,2011-10-03 13:34:25,173694,7000,ACCEPTED,A
11201.0,2011-10-03 13:40:14,173694,7000,ACCEPTED,F
10609.0,2011-11-04 16:04:52,173694,7000,ACCEPTED,C
10609.0,2011-11-04 16:04:52,173694,7000,ACCEPTED,I
10609.0,2011-11-04 16:04:52,173694,7000,ACCEPTED,B
112.0,2011-10-01 08:11:08,173697,15000,DECLINED,J
112.0,2011-10-01 08:11:09,173697,15000,DECLINED,G
112.0,2011-10-01 08:11:46,173697,15000,DECLINED,E
112.0,2011-10-01 09:45:25,173703,13500,CANCELLED,J
112.0,2011-10-01 09:45:25,173703,13500,CANCELLED,G
112.0,2011-10-01 09:46:18,173703,13500,CANCELLED,H
10912.0,2011-10-01 13:02:11,173703,13500,CANCELLED,D
112.0,2011-10-01 09:57:42,173709,11000,CANCELLED,J
112.0,2011-10-01 09:57:43,173709,11000,CANCELLED,G
112.0,2011-10-01 09:58:27,173709,11000,CANCELLED,H
112.0,2011-11-01 09:15:08,173709,11000,CANCELLED,D
112.0,2011-10-01 09:58:30,173712,30000,CANCELLED,J
112.0,2011-10-01 09:58:30,173712,30000,CANCELLED,G
10912.0,2011-10-01 10:10:24,173712,30000,CANCELLED,H
11180.0,2011-10-03 14:42:53,173712,30000,CANCELLED,D
112.0,2011-10-01 10:37:39,173718,15000,ACCEPTED,J
112.0,2011-10-01 10:37:39,173718,15000,ACCEPTED,G
112.0,2011-10-01 10:38:20,173718,15000,ACCEPTED,H
10862.0,2011-10-01 10:42:21,173718,15000,ACCEPTED,A
10862.0,2011-10-01 10:44:40,173718,15000,ACCEPTED,F
10972.0,2011-10-27 09:17:53,173718,15000,ACCEPTED,C
10972.0,2011-10-27 09:17:53,173718,15000,ACCEPTED,I
10972.0,2011-10-27 09:17:53,173718,15000,ACCEPTED,B
112.0,2011-10-01 12:36:08,173730,15000,ACCEPTED,J
112.0,2011-10-01 12:36:09,173730,15000,ACCEPTED,G
112.0,2011-10-01 12:36:59,173730,15000,ACCEPTED,H
11203.0,2011-10-01 15:36:06,173730,15000,ACCEPTED,A
11203.0,2011-10-01 15:40:08,173730,15000,ACCEPTED,F
10972.0,2011-10-21 09:08:14,173730,15000,ACCEPTED,B
10972.0,2011-10-21 09:08:14,173730,15000,ACCEPTED,I
10972.0,2011-10-21 09:08:14,173730,15000,ACCEPTED,C
112.0,2011-10-01 13:01:58,173736,15000,ACCEPTED,J
112.0,2011-10-01 13:01:59,173736,15000,ACCEPTED,G
112.0,2011-10-01 13:02:44,173736,15000,ACCEPTED,H
11203.0,2011-10-01 16:00:15,173736,15000,ACCEPTED,A
11203.0,2011-10-01 16:05:26,173736,15000,ACCEPTED,F
10809.0,2011-10-18 12:01:28,173736,15000,ACCEPTED,C
10809.0,2011-10-18 12:01:28,173736,15000,ACCEPTED,I
10809.0,2011-10-18 12:01:28,173736,15000,ACCEPTED,B
112.0,2011-10-01 13:12:58,173739,10000,ACCEPTED,J
