ec1,time,sequence,sn1,result,event
11201.0,2011-10-03 13:40:14,173694,7000,ACCEPTED,O
11201.0,2011-10-03 13:40:15,173694,7000,ACCEPTED,M
11201.0,2011-10-03 13:40:15,173694,7000,ACCEPTED,P
11201.0,2011-10-03 13:44:17,173694,7000,ACCEPTED,O
11201.0,2011-10-03 13:44:17,173694,7000,ACCEPTED,L
11201.0,2011-10-03 13:44:19,173694,7000,ACCEPTED,M
11201.0,2011-10-03 13:44:19,173694,7000,ACCEPTED,P
10861.0,2011-10-17 19:43:53,173694,7000,ACCEPTED,O
10861.0,2011-10-17 19:43:53,173694,7000,ACCEPTED,L
10861.0,2011-10-17 19:43:55,173694,7000,ACCEPTED,M
10861.0,2011-10-17 19:43:55,173694,7000,ACCEPTED,P
11049.0,2011-11-02 09:15:16,173694,7000,ACCEPTED,Q
10609.0,2011-11-04 16:04:52,173694,7000,ACCEPTED,K
10912.0,2011-10-01 12:30:20,173715,45000,DECLINED,O
10912.0,2011-10-01 12:30:21,173715,45000,DECLINED,M
10912.0,2011-10-01 12:30:21,173715,45000,DECLINED,P
10899.0,2011-10-10 12:54:03,173715,45000,DECLINED,Q
10138.0,2011-10-13 11:05:24,173715,45000,DECLINED,N
10939.0,2011-10-01 11:20:47,173721,9000,DECLINED,O
10939.0,2011-10-01 11:20:49,173721,9000,DECLINED,M
10939.0,2011-10-01 11:20:49,173721,9000,DECLINED,P
11029.0,2011-10-06 09:49:46,173721,9000,DECLINED,Q
11009.0,2011-10-10 16:28:25,173721,9000,DECLINED,N
11119.0,2011-10-01 16:36:44,173748,5000,DECLINED,O
11119.0,2011-10-01 16:37:32,173748,5000,DECLINED,M
11119.0,2011-10-01 16:37:32,173748,5000,DECLINED,P
11119.0,2011-10-01 16:42:16,173748,5000,DECLINED,L
11119.0,2011-10-01 16:42:16,173748,5000,DECLINED,O
11119.0,2011-10-01 16:42:17,173748,5000,DECLINED,M
11119.0,2011-10-01 16:42:17,173748,5000,DECLINED,P
11001.0,2011-10-03 16:44:19,173748,5000,DECLINED,N
11202.0,2011-10-03 09:31:07,173787,5000,CANCELLED,O
11202.0,2011-10-03 09:31:08,173787,5000,CANCELLED,M
11202.0,2011-10-03 09:31:08,173787,5000,CANCELLED,P
11202.0,2011-10-03 09:36:43,173787,5000,CANCELLED,L
11202.0,2011-10-03 09:36:43,173787,5000,CANCELLED,O
11202.0,2011-10-03 09:36:44,173787,5000,CANCELLED,M
11202.0,2011-10-03 09:36:44,173787,5000,CANCELLED,P
11119.0,2011-10-19 18:51:53,173787,5000,CANCELLED,L
11001.0,2011-10-03 11:15:53,173796,15000,CANCELLED,O
11001.0,2011-10-03 11:16:42,173796,15000,CANCELLED,M
11001.0,2011-10-03 11:16:42,173796,15000,CANCELLED,P
11201.0,2011-10-10 17:23:53,173796,15000,CANCELLED,L
11202.0,2011-10-03 09:53:24,173805,5000,CANCELLED,O
11202.0,2011-10-03 09:53:25,173805,5000,CANCELLED,M
11202.0,2011-10-03 09:53:25,173805,5000,CANCELLED,P
112.0,2011-11-03 09:15:16,173805,5000,CANCELLED,L
11180.0,2011-10-03 11:47:47,173811,50000,CANCELLED,O
11180.0,2011-10-03 11:47:48,173811,50000,CANCELLED,M
11180.0,2011-10-03 11:47:48,173811,50000,CANCELLED,P
112.0,2011-11-03 09:15:25,173811,50000,CANCELLED,L
11180.0,2011-10-03 09:52:38,173817,7000,DECLINED,O
11180.0,2011-10-03 09:52:39,173817,7000,DECLINED,M
11180.0,2011-10-03 09:52:39,173817,7000,DECLINED,P
11180.0,2011-10-03 09:53:26,173817,7000,DECLINED,L
11180.0,2011-10-03 09:53:26,173817,7000,DECLINED,O
11180.0,2011-10-03 09:53:27,173817,7000,DECLINED,M
11180.0,2011-10-03 09:53:27,173817,7000,DECLINED,P
10899.0,2011-10-07 13:23:32,173817,7000,DECLINED,Q
10609.0,2011-10-11 09:15:45,173817,7000,DECLINED,N
11120.0,2011-10-03 09:57:31,173823,15000,DECLINED,O
11120.0,2011-10-03 09:57:33,173823,15000,DECLINED,M
11120.0,2011-10-03 09:57:33,173823,15000,DECLINED,P
10899.0,2011-10-10 14:01:44,173823,15000,DECLINED,Q
10138.0,2011-10-13 09:36:21,173823,15000,DECLINED,N
11180.0,2011-10-03 10:35:59,173835,10000,CANCELLED,O
11180.0,2011-10-03 10:36:00,173835,10000,CANCELLED,M
11180.0,2011-10-03 10:36:00,173835,10000,CANCELLED,P
10861.0,2011-10-18 14:12:43,173835,10000,CANCELLED,L
11202.0,2011-10-03 10:22:05,173847,5000,DECLINED,O
11202.0,2011-10-03 10:22:06,173847,5000,DECLINED,M
11202.0,2011-10-03 10:22:06,173847,5000,DECLINED,P
10899.0,2011-10-10 13:52:46,173847,5000,DECLINED,Q
10138.0,2011-10-12 10:52:11,173847,5000,DECLINED,N
11120.0,2011-10-03 12:37:05,173859,5000,CANCELLED,O
11120.0,2011-10-03 12:37:07,173859,5000,CANCELLED,M
11120.0,2011-10-03 12:37:07,173859,5000,CANCELLED,P
11120.0,2011-10-10 16:43:52,173859,5000,CANCELLED,L
11180.0,2011-10-03 10:21:41,173868,5000,DECLINED,O
